dhcp_fingerprint_id,device_id,satori_name,device_type,device_vendor,dhcp_option55
67,41,Cisco 7905 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,51,150"
66,41,Cisco 7905 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,150"
1014,41,Cisco 7910 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
1014,41,Cisco 7910 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
1014,41,Cisco 7911x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
1014,41,Cisco 7911x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
67,41,Cisco 7912 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,51,150"
66,41,Cisco 7912 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,150"
64,41,Cisco 7912 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150"
66,41,Cisco 7912 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,150"
64,41,Cisco 7912 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150"
65,41,Cisco 7912 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,51,150"
2053,41,Cisco 7935 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,28,66,6,15,3,35,150"
2053,41,Cisco 7935 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,28,66,6,15,3,35,150"
64,41,Cisco 7937G IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150"
64,41,Cisco 7937G IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150"
1014,41,Cisco 7940/7960x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
69,41,Cisco 7940/7960x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35,151"
1014,41,Cisco 7940/7960x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
69,41,Cisco 7940/7960x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35,151"
1014,41,Cisco 7945x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
1014,41,Cisco 7961G IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
1014,41,Cisco 7961G IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
1014,41,Cisco 7965G IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
