id,value,created_at,updated_at
259,"24,9751",2019-02-17 23:09:35,2019-02-17 23:09:35
260,"13,12",2019-02-18 17:12:59,2019-02-18 17:12:59
261,"17,23,24,46",2019-02-24 05:27:17,2019-02-24 05:27:17
262,"24,23,17,32",2019-02-28 16:03:33,2019-02-28 16:03:33
263,"88,8962",2019-03-01 22:20:26,2019-03-01 22:20:26
264,"24,119",2019-03-02 07:45:40,2019-03-02 07:45:40
265,"25207,50604",2019-03-03 08:23:27,2019-03-03 08:23:27
266,"114,21,22,23,24,31,56,64,67,82,83,94,95,96",2019-03-13 11:21:25,2019-03-13 11:21:25
267,"23,24,1",2019-04-05 13:17:51,2019-04-05 13:17:51
268,"24,199",2019-04-06 23:59:48,2019-04-06 23:59:48
269,"537,199,16409,17719",2019-04-10 21:56:30,2019-04-10 21:56:30
270,"29769,5166",2019-04-16 11:45:22,2019-04-16 11:45:22
271,"36629,23,24,39",2019-04-21 14:13:06,2019-04-21 14:13:06
272,"19703,9998",2019-04-27 22:13:26,2019-04-27 22:13:26
273,"152,44278",2019-04-29 23:10:07,2019-04-29 23:10:07
274,"17,23,24,117",2019-05-04 02:05:03,2019-05-04 02:05:03
275,"165,27425",2019-05-05 16:59:43,2019-05-05 16:59:43
276,"216,40137",2019-05-08 01:44:05,2019-05-08 01:44:05
277,"12447,63818",2019-05-10 08:57:41,2019-05-10 08:57:41
278,"30481,23",2019-05-20 20:20:08,2019-05-20 20:20:08
279,"17,183,536,37",2019-05-25 03:06:49,2019-05-25 03:06:49
280,"162,17921",2019-05-31 03:59:55,2019-05-31 03:59:55
281,"45684,23",2019-05-31 12:11:22,2019-05-31 12:11:22
282,"57954,20216",2019-06-06 06:34:42,2019-06-06 06:34:42
283,"41850,48732",2019-06-06 10:25:05,2019-06-06 10:25:05
284,"23,24,31,64,99",2019-06-06 20:09:42,2019-06-06 20:09:42
285,"24,20610",2019-06-06 23:46:59,2019-06-06 23:46:59
286,"151,14616",2019-06-07 04:30:54,2019-06-07 04:30:54
287,"50460,23",2019-06-08 10:02:22,2019-06-08 10:02:22
288,"57413,48930",2019-06-10 00:31:00,2019-06-10 00:31:00
289,"24,21723",2019-06-12 06:08:29,2019-06-12 06:08:29
290,6553,2019-06-14 08:11:42,2019-06-14 08:11:42
291,13106,2019-06-14 08:14:34,2019-06-14 08:14:34
292,"6553,6553,6553",2019-06-14 09:12:23,2019-06-14 09:12:23
293,"6553,6553,6553,6553",2019-06-14 09:48:24,2019-06-14 09:48:24
294,"6553,6553",2019-06-14 09:55:49,2019-06-14 09:55:49
295,"6553,19660",2019-06-14 13:01:51,2019-06-14 13:01:51
296,"19660,6553",2019-06-14 13:02:03,2019-06-14 13:02:03
297,"13106,13106",2019-06-14 13:04:45,2019-06-14 13:04:45
298,"13106,26213",2019-06-14 13:13:46,2019-06-14 13:13:46
299,"26213,13106",2019-06-14 13:13:58,2019-06-14 13:13:58
300,"19660,19660",2019-06-14 13:16:58,2019-06-14 13:16:58
301,"6553,32767",2019-06-14 18:00:03,2019-06-14 18:00:03
302,19660,2019-06-15 05:02:33,2019-06-15 05:02:33
303,26213,2019-06-15 06:30:51,2019-06-15 06:30:51
304,"6553,6553,19660",2019-06-15 08:38:26,2019-06-15 08:38:26
305,"6553,19660,6553",2019-06-15 09:30:10,2019-06-15 09:30:10
306,"32767,6553",2019-06-15 12:19:01,2019-06-15 12:19:01
307,"128,9090",2019-06-15 17:36:02,2019-06-15 17:36:02
308,"6553,19660,6553,6553,6553,19660",2019-06-15 21:01:12,2019-06-15 21:01:12
